Orthogroup	Smed_jakke	g_tig_TfinalCDS
OG0000005	MSTRG.15751.3.p1, MSTRG.15751.2.p1	m.8416_1
OG0000005	SMEST062221001.1.p1, MSTRG.18565.3.p1	m.7176_1
OG0000005	SMEST003106001.1.p1	m.10540_1
OG0000005	SMEST052051001.1.p1	m.2221_1
OG0000005	SMEST053245001.1.p1, SMEST053241001.1.p1	m.4648_1
OG0000005	MSTRG.21792.4.p1, SMEST078214001.1.p1, MSTRG.21792.2.p1, MSTRG.21792.1.p1	m.5841_1
OG0000005	SMEST004267001.1.p1, MSTRG.2175.2.p1	m.4526_1
OG0000005	SMEST081422001.1.p1	m.7710_1
OG0000005	MSTRG.10030.3.p1, SMEST032500001.1.p1, SMEST032500002.1.p1, MSTRG.10030.5.p1	m.12829_1
OG0000005	SMEST022910002.1.p1	m.31721_1
OG0000005	SMEST046633002.1.p1	m.7147_1
OG0000005	SMEST023259002.1.p1	m.611_1, m.536_1
OG0000005	SMEST023192001.1.p1	m.1646_1
OG0000005	SMEST025022001.1.p1, MSTRG.8210.1.p1	m.5429_1
OG0000006	SMEST020470001.1.p1, SMEST013700001.1.p1, MSTRG.4933.3.p1, MSTRG.4933.1.p1, SMEST078401001.1.p1	m.21841_1
OG0000006	MSTRG.11163.1.p1, SMEST034110001.1.p1	m.27754_1
OG0000006	SMEST022751001.1.p1, MSTRG.7352.2.p1	m.34803_1, m.34802_1, m.7588_1
OG0000006	SMEST022100001.1.p1, SMEST022101001.1.p1	m.27808_1, m.27811_1, m.2046_1, m.27806_1, m.27814_1, m.27812_1, m.27807_1, m.27805_1, m.27816_1, m.27809_1, m.27813_1, m.27815_1, m.24434_1, m.24436_1, m.24435_1
OG0000006	SMEST072722001.1.p1, MSTRG.21321.3.p1, SMEST049728001.1.p1, MSTRG.15291.3.p1, MSTRG.21321.1.p1, SMEST072744002.1.p1, SMEST072689001.1.p1, SMEST072733001.1.p1, SMEST072748001.1.p1	m.24433_1, m.24437_1
OG0000006	MSTRG.21333.2.p1, SMEST072585001.1.p1	m.24432_1
OG0000006	MSTRG.21321.2.p2	m.2045_1, m.3948_1, m.5631_1
OG0000006	MSTRG.532.3.p2, MSTRG.532.6.p1, SMEST025941001.1.p1, MSTRG.532.5.p2, MSTRG.532.3.p1	m.6777_1
OG0000007	MSTRG.221.3.p1	m.9245_1, m.9248_1
OG0000007	SMEST029867001.1.p1	m.29577_1
OG0000007	SMEST011176001.1.p1	m.4775_1
OG0000007	SMEST027218001.1.p1	m.4643_1
OG0000007	SMEST080376001.1.p1	m.1393_1
OG0000007	SMEST072526002.1.p1	m.4085_1
OG0000007	SMEST016937001.1.p1, SMEST036361002.1.p1	m.10938_1
OG0000007	MSTRG.10139.2.p1	m.639_1
OG0000008	MSTRG.11192.1.p1, MSTRG.11192.2.p1, SMEST034251001.1.p1, MSTRG.11192.4.p1	m.15691_1
OG0000009	MSTRG.11813.3.p2	m.5328_1
OG0000009	SMEST074073002.1.p1, MSTRG.11813.3.p1	m.5329_1
OG0000009	SMEST056563003.1.p1, SMEST056563001.1.p1, MSTRG.20038.1.p1	m.1372_1
OG0000009	SMEST081367002.1.p1, MSTRG.22800.3.p1	m.5904_1
OG0000009	MSTRG.6046.1.p1	m.9883_1
OG0000009	SMEST056795001.1.p1	m.435_1
OG0000009	MSTRG.13395.3.p1, SMEST051080001.1.p1, MSTRG.13395.2.p1	m.18879_1
OG0000009	MSTRG.22232.3.p1, MSTRG.22232.2.p1, SMEST075748001.1.p1	m.12772_1
OG0000009	MSTRG.15621.2.p1, MSTRG.15621.3.p1, MSTRG.15621.4.p1, SMEST058351001.1.p1	m.4714_1
OG0000009	SMEST045237001.1.p1	m.7418_1
OG0000009	SMEST017113001.1.p1, MSTRG.5356.2.p1	m.18880_1
OG0000009	MSTRG.6273.1.p2, SMEST017736001.1.p1, MSTRG.6273.3.p1	m.19012_1
OG0000009	SMEST059571001.1.p1	m.6709_1
OG0000009	SMEST004643001.1.p1	m.9885_1
OG0000009	SMEST008878001.1.p1, SMEST008878002.1.p1	m.8616_1
OG0000009	SMEST047573001.1.p1	m.4755_1
OG0000009	SMEST018302001.1.p1, SMEST032972001.1.p1	m.13683_1
OG0000009	MSTRG.1725.2.p1, SMEST005913001.1.p1, SMEST022087001.1.p1	m.11625_1
OG0000009	SMEST005640002.1.p1, MSTRG.1620.2.p1	m.43678_1
OG0000009	MSTRG.16619.1.p1	m.5405_1
OG0000009	MSTRG.3427.2.p1	m.4983_1
OG0000009	MSTRG.12506.6.p1, MSTRG.12506.5.p1, MSTRG.12506.7.p1, SMEST039937001.1.p1	m.428_1
OG0000009	SMEST063119004.1.p1, SMEST063119002.1.p1, MSTRG.18862.3.p1	m.10992_1
OG0000009	SMEST023113001.1.p1	m.1905_1
OG0000010	SMEST070388001.1.p1	m.40647_1
OG0000010	MSTRG.10156.9.p3	m.32153_1, m.35140_1
OG0000010	SMEST025842001.1.p1	m.33972_1
OG0000010	SMEST056413001.1.p1	m.20568_1
OG0000010	MSTRG.12859.17.p1	m.32281_1
OG0000010	SMEST008565001.1.p1	m.28341_1
OG0000010	SMEST030754001.1.p1, SMEST081807001.1.p1	m.24575_1, m.43077_1, m.38529_1, m.2304_1, m.2308_1, m.38398_1
OG0000010	SMEST070813001.1.p1	m.42386_1, m.30577_1
OG0000010	SMEST030754001.1.p2	m.40989_1
OG0000011	SMEST081189001.1.p1, SMEST000865001.1.p1, SMEST067371001.1.p1, SMEST033921001.1.p1, SMEST042733001.1.p1, SMEST059178001.1.p1	m.43739_1
OG0000011	SMEST043686001.1.p1, SMEST022448001.1.p1	m.16409_1
OG0000011	SMEST053380001.1.p1, SMEST000863003.1.p1, SMEST008716001.1.p1	m.34288_1
OG0000011	SMEST010818001.1.p1, SMEST017840001.1.p1	m.43118_1, m.29515_1, m.39646_1
OG0000011	SMEST081491001.1.p1	m.34289_1
OG0000011	SMEST043416001.1.p1, SMEST051580001.1.p1, SMEST075708001.1.p1, SMEST080254001.1.p1, SMEST038541001.1.p1, SMEST041215001.1.p1, SMEST063595004.1.p1	m.43122_1, m.33415_1
OG0000011	SMEST074296001.1.p1, SMEST000866001.1.p1, SMEST073216001.1.p1	m.39649_1, m.27_1, m.40517_1
OG0000011	SMEST057986001.1.p1	m.15899_1
OG0000011	SMEST044703001.1.p1, SMEST055728001.1.p1, SMEST060997001.1.p1, SMEST028233001.1.p1, SMEST038542001.1.p1, SMEST034538004.1.p1	m.33416_1
OG0000011	SMEST042734001.1.p1, SMEST050357001.1.p1, SMEST064843001.1.p1, SMEST041327001.1.p1, SMEST035628001.1.p1, SMEST037872001.1.p1	m.2900_1, m.33417_1
OG0000013	SMEST078106002.1.p1	m.1967_1
OG0000014	MSTRG.4902.1.p2, SMEST013769001.1.p1	m.20468_1, m.1222_1
OG0000014	SMEST013765009.1.p1, SMEST013765007.1.p1, SMEST013768005.1.p1, SMEST013768007.1.p1, SMEST013768001.1.p1, MSTRG.4902.10.p1, MSTRG.4902.1.p1, MSTRG.4902.15.p1, MSTRG.4902.16.p1	m.20465_1, m.20466_1
OG0000014	MSTRG.4901.4.p2, MSTRG.4901.2.p1, SMEST013752001.1.p1, MSTRG.4901.1.p1, MSTRG.4897.14.p1, MSTRG.4897.11.p2, MSTRG.4897.10.p2, MSTRG.4897.9.p2, MSTRG.4897.3.p1, MSTRG.4897.8.p1, MSTRG.4897.2.p1, SMEST013746003.1.p1, MSTRG.4905.6.p1, SMEST013783006.1.p1, MSTRG.4905.1.p1, SMEST013783005.1.p1, SMEST013786002.1.p1	m.35756_1, m.35742_1, m.35750_1, m.35739_1, m.35752_1
OG0000014	SMEST060680001.1.p1, MSTRG.18127.5.p1, MSTRG.18127.6.p1, MSTRG.18127.4.p1, MSTRG.18127.3.p1, SMEST060689001.1.p1	m.28170_1, m.28171_1
OG0000015	SMEST032619001.1.p1	m.1552_1
OG0000015	SMEST056587001.1.p1	m.478_1
OG0000015	SMEST018830001.1.p1	m.3753_1
OG0000015	MSTRG.22726.1.p1	m.43590_1
OG0000015	MSTRG.27.1.p1	m.2041_1
OG0000015	MSTRG.19581.3.p1, SMEST066244001.1.p1, MSTRG.19581.1.p1	m.3115_1
OG0000015	SMEST067729001.1.p2, SMEST067729002.1.p1	m.352_1
OG0000015	SMEST062901001.1.p1	m.2004_1
OG0000015	SMEST029000001.1.p1	m.682_1
OG0000015	MSTRG.23258.1.p1, MSTRG.23258.3.p1, MSTRG.23258.4.p1, SMEST079648001.1.p1	m.4481_1
OG0000015	SMEST044960003.1.p1, MSTRG.5969.1.p1	m.43620_1
OG0000015	SMEST000956001.1.p1	m.3452_1
OG0000015	MSTRG.6136.2.p1, SMEST019274001.1.p1	m.2250_1
OG0000015	MSTRG.6445.2.p1, SMEST018258001.1.p1	m.4567_1
OG0000015	SMEST044395001.1.p1, MSTRG.13829.2.p1	m.83_1
OG0000015	SMEST026385001.1.p1	m.1882_1
OG0000016	MSTRG.12441.4.p2, MSTRG.12441.5.p1, SMEST040243002.1.p1	m.17420_1
OG0000016	SMEST031472001.1.p1	m.11318_1
OG0000016	SMEST064528001.1.p1, SMEST004219001.1.p1	m.22308_1, m.22309_1, m.17623_1, m.25081_1
OG0000016	SMEST064418001.1.p1	m.26105_1, m.28493_1
OG0000017	SMEST005922002.1.p1, SMEST005922001.1.p1, MSTRG.1729.15.p1, MSTRG.1729.5.p1, MSTRG.1729.12.p1, MSTRG.1729.13.p1, MSTRG.1729.14.p1, MSTRG.1729.6.p1, MSTRG.1729.9.p1, MSTRG.1729.7.p1, MSTRG.1729.12.p2, MSTRG.1729.4.p2	m.37901_1
OG0000017	SMEST017894001.1.p1, MSTRG.6318.3.p1	m.10796_1
OG0000017	SMEST010788001.1.p1, MSTRG.4080.1.p1	m.13833_1
OG0000017	MSTRG.1648.5.p1	m.13089_1
OG0000017	SMEST027379001.1.p1	m.21460_1
OG0000018	MSTRG.2333.4.p1, SMEST005018001.1.p1	m.2029_1
OG0000018	SMEST067397003.1.p1, SMEST067397006.1.p1	m.11534_1
OG0000018	MSTRG.9597.1.p1	m.4522_1, m.4523_1
OG0000018	SMEST023717006.1.p1, MSTRG.8421.7.p1	m.19287_1
OG0000018	SMEST020038001.1.p1, MSTRG.6974.3.p1	m.13107_1
OG0000018	SMEST047763002.1.p1, SMEST047763001.1.p1, MSTRG.15051.4.p1, MSTRG.23506.3.p2	m.4358_1
OG0000018	MSTRG.23506.1.p1	m.11015_1
OG0000018	SMEST048803002.1.p1, MSTRG.15051.3.p1, SMEST048803001.1.p1	m.1811_1
OG0000018	SMEST052478001.1.p1	m.2031_1
OG0000019	SMEST010270001.1.p1	m.1617_1
OG0000019	MSTRG.12975.4.p1, MSTRG.12975.1.p1, MSTRG.12975.3.p1, MSTRG.12975.5.p3, MSTRG.12975.6.p1, SMEST040645001.1.p1	m.25044_1
OG0000019	MSTRG.18451.4.p2, MSTRG.18451.5.p1, SMEST061695001.1.p1	m.10313_1
OG0000019	MSTRG.17474.1.p1, SMEST064173001.1.p1, MSTRG.17474.2.p2	m.1879_1
OG0000019	SMEST067319002.1.p1, MSTRG.3843.2.p1, MSTRG.3843.3.p1	m.9027_1
OG0000019	SMEST004239001.1.p1	m.572_1
OG0000019	SMEST015673001.1.p1	m.10250_1
OG0000019	SMEST021434001.1.p1	m.3314_1
OG0000019	SMEST062929001.1.p1	m.5357_1
OG0000019	SMEST065690001.1.p1	m.666_1
OG0000019	SMEST077075001.1.p1	m.3199_1
OG0000019	MSTRG.19539.1.p2	m.5354_1
OG0000019	SMEST067799001.1.p1	m.3388_1
OG0000019	SMEST075929001.1.p1	m.457_1
OG0000019	MSTRG.19765.4.p1, SMEST066497001.1.p1, MSTRG.19765.3.p1	m.7169_1
OG0000019	MSTRG.21195.3.p2, SMEST072183001.1.p1, MSTRG.21195.2.p2	m.1148_1
OG0000019	SMEST015734001.1.p1	m.21760_1
OG0000020	SMEST028600001.1.p1	m.2346_1
OG0000020	SMEST034284001.1.p1	m.2327_1, m.1924_1
OG0000021	SMEST014208004.1.p2	m.41726_1
OG0000023	MSTRG.17242.6.p1, SMEST057252001.1.p1, MSTRG.12495.1.p1	m.31996_1
OG0000023	MSTRG.17703.9.p1, MSTRG.17703.15.p1, MSTRG.17703.3.p1, MSTRG.17703.13.p1, MSTRG.17703.14.p1, MSTRG.17703.10.p1, SMEST064939001.1.p1, SMEST064939002.1.p1, MSTRG.17703.11.p1	m.29055_1
OG0000023	MSTRG.4477.4.p1, SMEST014785002.1.p1, MSTRG.4477.2.p1, MSTRG.4477.9.p4, MSTRG.4477.11.p2	m.31999_1, m.29760_1
OG0000023	MSTRG.3946.4.p6	m.31473_1
OG0000023	SMEST010444001.1.p1, SMEST010444006.1.p1, SMEST010444005.1.p1, MSTRG.3946.4.p1	m.31468_1
OG0000023	MSTRG.4477.4.p2, MSTRG.4477.3.p2	m.29763_1
OG0000023	SMEST074229001.1.p1, MSTRG.20583.13.p1	m.38550_1
OG0000023	MSTRG.1007.7.p1, MSTRG.1007.14.p1, MSTRG.1007.2.p1, MSTRG.1007.8.p2	m.41140_1
OG0000023	MSTRG.1007.17.p1, MSTRG.1007.1.p2, MSTRG.1007.23.p1	m.41143_1, m.39079_1, m.39080_1, m.39078_1
OG0000023	SMEST000262002.1.p1	m.31894_1
OG0000024	SMEST042728001.1.p1	m.31397_1, m.41603_1, m.41158_1, m.42191_1
OG0000025	MSTRG.19262.2.p1, SMEST069788002.1.p1	m.8236_1
OG0000025	SMEST008993001.1.p1	m.1989_1
OG0000025	SMEST037124001.1.p1	m.5685_1
OG0000025	MSTRG.18503.2.p1	m.37189_1
OG0000025	SMEST041885001.1.p1	m.1515_1
OG0000025	SMEST077704001.1.p1	m.3744_1
OG0000025	SMEST041886001.1.p1	m.7597_1
OG0000025	MSTRG.10658.3.p1	m.2564_1
OG0000025	MSTRG.544.3.p1, SMEST026005001.1.p1	m.19871_1
OG0000025	MSTRG.6512.2.p1, MSTRG.6512.5.p1, SMEST018336002.1.p1	m.8884_1
OG0000026	SMEST043528001.1.p1	m.23170_1, m.23169_1
OG0000026	SMEST026463001.1.p1	m.7373_1
OG0000026	SMEST046103001.1.p1	m.8727_1
OG0000026	SMEST046092001.1.p1	m.31068_1, m.31067_1
OG0000028	MSTRG.3791.2.p2, SMEST009904001.1.p1	m.25261_1
OG0000028	MSTRG.6061.1.p1, MSTRG.6061.6.p1	m.28586_1
OG0000028	MSTRG.6717.6.p1, MSTRG.6717.5.p1, SMEST021044001.1.p1, MSTRG.6717.3.p1	m.17805_1
OG0000028	SMEST068398001.1.p1, MSTRG.20225.3.p1	m.8043_1
OG0000028	SMEST072792002.1.p1	m.27924_1
OG0000028	SMEST019713001.1.p1, MSTRG.6885.3.p2, MSTRG.6885.4.p1	m.13114_1
OG0000028	MSTRG.8708.4.p1, MSTRG.8711.1.p1, MSTRG.8708.16.p1, MSTRG.8708.1.p1, SMEST042051002.1.p1, MSTRG.8708.7.p1	m.12495_1
OG0000028	MSTRG.8707.7.p1, MSTRG.8707.3.p1, MSTRG.8707.5.p1, MSTRG.8707.4.p1	m.9779_1
OG0000028	MSTRG.15483.2.p3, MSTRG.15483.11.p2, MSTRG.23168.7.p1, MSTRG.23168.1.p1, MSTRG.6061.6.p2, MSTRG.3791.2.p1, MSTRG.6061.6.p3, SMEST051036001.1.p1, SMEST054971001.1.p1, SMEST054997001.1.p1, MSTRG.16813.4.p2, MSTRG.6885.3.p1	m.13118_1
OG0000028	MSTRG.3752.7.p2, MSTRG.3751.3.p1, MSTRG.3751.8.p2, MSTRG.8708.5.p2, MSTRG.8708.16.p2	m.6286_1, m.6284_1
OG0000028	MSTRG.15483.5.p1	m.34074_1
OG0000028	SMEST009986001.1.p1, MSTRG.3751.4.p1, SMEST009987001.1.p1	m.15339_1
OG0000028	MSTRG.835.3.p2, MSTRG.835.5.p1, SMEST003011001.1.p1	m.5030_1
OG0000028	SMEST055640001.1.p1	m.21790_1
OG0000029	SMEST074521001.1.p1, MSTRG.21876.3.p3, MSTRG.21876.1.p2	m.21413_1
OG0000029	MSTRG.21871.3.p1, MSTRG.21871.1.p2	m.25843_1
OG0000029	SMEST073667001.1.p1	m.866_1
OG0000029	SMEST038837002.1.p1, MSTRG.6211.2.p1, MSTRG.12152.1.p1, MSTRG.6211.3.p1	m.7763_1
OG0000029	MSTRG.21391.15.p1, SMEST072791003.1.p1, SMEST015174001.1.p1, SMEST072805001.1.p1, MSTRG.21394.1.p1	m.7183_1, m.7184_1
OG0000029	MSTRG.21391.9.p2	m.578_1, m.5316_1
OG0000029	SMEST072804002.1.p1, SMEST072806001.1.p1, MSTRG.21395.4.p1, MSTRG.21395.3.p1, MSTRG.21395.2.p1	m.7294_1
OG0000029	SMEST080471001.1.p1, MSTRG.5944.1.p1, SMEST080475001.1.p1	m.3535_1
OG0000029	SMEST016662001.1.p1	m.92_1, m.941_1
OG0000030	SMEST017294001.1.p1, MSTRG.5480.3.p2, SMEST017294002.1.p1	m.38819_1
OG0000030	SMEST007049004.1.p1, SMEST007049005.1.p1, SMEST007049001.1.p1, MSTRG.3043.12.p1, MSTRG.3043.20.p1, MSTRG.3043.5.p1, MSTRG.3043.18.p1	m.36556_1
OG0000030	MSTRG.10810.5.p5	m.29776_1, m.29775_1
OG0000030	SMEST050247001.1.p1, MSTRG.15455.15.p1	m.14051_1
OG0000030	MSTRG.21175.3.p1	m.35195_1
OG0000030	SMEST049144001.1.p1, MSTRG.15525.1.p1	m.35438_1
OG0000030	MSTRG.17087.4.p1, MSTRG.15526.3.p2	m.2022_1
OG0000030	MSTRG.15526.2.p1	m.39247_1
OG0000030	SMEST039073001.1.p1	m.39248_1
OG0000030	SMEST073407002.1.p1, SMEST073414001.1.p1	m.35250_1
OG0000030	MSTRG.4899.16.p1, MSTRG.4899.15.p1, MSTRG.4899.13.p1, MSTRG.4899.12.p2, MSTRG.4899.3.p1, MSTRG.4899.10.p1, MSTRG.4899.17.p2	m.32235_1
OG0000030	MSTRG.4899.13.p2, MSTRG.4899.15.p2, MSTRG.19574.12.p1, MSTRG.12950.1.p4	m.33924_1
OG0000030	MSTRG.3043.19.p2, MSTRG.4899.12.p1	m.33923_1
OG0000030	MSTRG.19574.10.p2, MSTRG.19574.3.p1, MSTRG.19574.8.p3, MSTRG.4899.10.p3, MSTRG.12950.5.p2, MSTRG.12950.3.p1	m.33921_1
OG0000030	MSTRG.19574.4.p2, MSTRG.19574.10.p1, SMEST065732002.1.p1, SMEST065732003.1.p1	m.37962_1
OG0000030	SMEST012956002.1.p1, SMEST012956001.1.p1, MSTRG.4654.5.p2, MSTRG.12950.5.p3, MSTRG.4654.6.p1	m.36926_1
OG0000031	SMEST006948001.1.p1	m.30288_1
OG0000031	SMEST008033001.1.p1, MSTRG.3193.2.p1, SMEST008037001.1.p1	m.8279_1
OG0000031	SMEST071951001.1.p1, SMEST080295001.1.p1	m.32647_1
OG0000031	SMEST010271001.1.p1, MSTRG.3932.2.p1	m.16932_1
OG0000031	MSTRG.858.8.p2, MSTRG.858.9.p1, MSTRG.858.5.p1, MSTRG.858.11.p1, MSTRG.858.2.p1, SMEST003109003.1.p1, SMEST003109002.1.p1	m.22759_1, m.22760_1, m.22761_1, m.22762_1
OG0000031	MSTRG.11055.7.p1, MSTRG.11055.9.p1, MSTRG.11055.5.p1, MSTRG.11055.12.p1, SMEST035197002.1.p1, MSTRG.11055.10.p1	m.1906_1
OG0000033	SMEST006412001.1.p1, MSTRG.1859.1.p1	m.3717_1
OG0000033	MSTRG.16126.4.p1, MSTRG.16140.5.p1, MSTRG.16126.3.p1, SMEST053446001.1.p1, SMEST053446003.1.p1, MSTRG.16140.1.p1, MSTRG.16140.7.p1, MSTRG.16140.5.p2, MSTRG.16140.3.p1, MSTRG.16140.4.p1	m.7013_1
OG0000033	SMEST074769001.1.p1, SMEST000638001.1.p1, MSTRG.2758.1.p1	m.12673_1
OG0000035	SMEST065171001.1.p1	m.5929_1
OG0000035	SMEST023046001.1.p1, MSTRG.7523.1.p1, SMEST023044001.1.p1	m.20254_1, m.20253_1, m.20028_1, m.5667_1
OG0000035	SMEST023690001.1.p1	m.10754_1
OG0000035	SMEST020765001.1.p1	m.14106_1
OG0000035	MSTRG.6648.2.p1	m.29068_1, m.395_1, m.17842_1
OG0000035	SMEST054572001.1.p1	m.10905_1
OG0000035	SMEST060671002.1.p2, SMEST060671001.1.p1	m.12126_1
OG0000036	MSTRG.18112.10.p1, MSTRG.18112.7.p1, MSTRG.18112.11.p1, MSTRG.18112.5.p1, MSTRG.18112.4.p1	m.11742_1, m.11743_1
OG0000036	MSTRG.9789.1.p1	m.5839_1
OG0000036	SMEST015831001.1.p1	m.3965_1
